sample,total_muts,total_sigmuts,tracked_muts_after_lm,non_sigmuts,sigmuts_ b117,sigmuts_ b1351,sigmuts_ b16172,sigmuts_ p1,sigmuts_ ba1,sigmuts_ ba2
Total,3210,133,20,3077,27,13,28,21,49,58
merged_939_1berlin21051920-22hmix,70,25,0,45,23,4,3,7,7,7
merged_939_2berlin21051922-24hmix,67,23,0,44,22,2,2,5,6,7
merged_939_3berlin21052720-22hmix,73,27,1,46,24,5,4,6,7,7
merged_939_4berlin21052722-24hmix,59,26,0,33,24,3,3,8,7,7
merged_939_5berlin21060420-22h,46,19,2,27,16,2,3,4,4,4
merged_939_6berlin21060422-00h,36,17,0,19,17,3,3,6,6,6
merged_939_7berlin21061020-22h,40,12,0,28,12,1,1,4,4,4
merged_939_8berlin21061022-00h,62,18,3,44,13,4,4,2,3,2
merged_939_9berlin21051220-22hmix,68,24,3,44,19,4,5,2,3,3
merged_P939_210408_20-22hmix,267,29,0,238,27,6,3,7,8,8
merged_P939_210408_22-24hmix,325,28,0,297,27,4,3,8,8,8
merged_P939_210415_20-22hmix,1,0,0,1,0,0,0,0,0,0
merged_P939_210415_22-24hmix,1,0,0,1,0,0,0,0,0,0
merged_P939_210422_20-22hmix,262,29,2,233,27,4,5,7,8,8
merged_P939_210422_22-24hmix,268,31,0,237,27,6,4,7,9,8
merged_P939_210427_12-14hmix,263,34,3,229,26,7,8,7,8,8
merged_P939_210427_16-18hmix,234,37,4,197,26,8,8,8,10,10
merged_P939_210427_20-22hmix,333,33,1,300,26,8,4,10,8,8
merged_P939_210427_22-24hmix,336,37,6,299,26,5,11,7,10,8
merged_P939_210507_20-22hmix,192,24,3,168,16,2,6,9,7,7
merged_P939_210507_22-24hmix,267,16,1,251,15,3,4,3,4,4
trimmed_210916-20-22h-mix_S1,29,8,3,21,0,0,8,0,0,0
trimmed_210916-22-24h-mix_S2,47,16,9,31,2,2,16,2,4,5
trimmed_210929-20-22h-mix_S3,51,20,14,31,2,2,20,2,4,4
trimmed_210929-22-24h-mix_S4,54,21,14,33,2,2,21,2,4,4
trimmed_211013-20-22h-mix_S5,43,19,12,24,1,1,19,1,2,2
trimmed_211013-22-24h-mix_S6,56,20,15,36,2,2,18,3,5,4
trimmed_211028-20-22h-mix_S7,80,25,15,55,3,3,23,4,6,5
trimmed_211028-22-24h-mix_S8,93,25,14,68,3,3,22,5,5,4
trimmed_211117-20-22h-mix_S9,152,26,15,126,3,3,25,3,6,5
trimmed_211117-22-24h-mix_S10,104,26,15,78,3,4,24,3,6,5
trimmed_211124-20-22h-mix_S11,135,31,15,104,5,3,26,3,8,7
trimmed_211124-22-24h-mix_S12,194,34,15,160,3,3,28,5,8,7
trimmed_211208-20-22h-mix_S13,110,26,15,84,3,4,23,4,7,5
trimmed_211208-22-24h-mix_S14,66,15,11,51,0,0,15,0,1,1
trimmed_211223-20-22h-mix_S15,120,65,20,55,9,4,26,10,41,31
trimmed_211223-22-24h-mix_S16,111,57,20,54,8,4,23,8,39,30
trimmed_211229-20-22h-mix_S17,88,49,19,39,7,4,21,8,31,22
trimmed_211229-22-24h-mix_S18,86,39,16,47,7,3,15,7,27,21
trimmed_220105-20-22h-mix_S19,148,65,20,83,8,4,24,8,43,34
trimmed_220105-22-24h-mix_S20,113,51,18,62,8,4,19,8,37,26
trimmed_220113-20-22h-mix_S21,320,88,18,232,8,5,25,10,46,52
trimmed_220113-22-24h-mix_S22,368,90,20,278,6,6,26,8,45,53
trimmed_220119-20-22h-mix_S23,189,73,15,116,8,4,14,10,47,48
trimmed_220119-22-24h-mix_S24,134,63,15,71,8,5,15,10,37,40
WW_210209_WA,24,5,0,19,5,1,1,4,4,4
WW_210219_Berlin_KW1,220,24,0,196,24,4,3,7,8,8
WW_210225_Berlin_KW1_20-22,109,20,0,89,19,3,3,6,7,7
WW_210225_Berlin_KW1_22-24,172,24,0,148,24,4,3,7,8,8
WW_210304_Berlin_KW1,226,23,0,203,22,4,2,6,7,7
WW_210304_Berlin_KW3,44,11,0,33,11,1,1,1,1,1
WW_210304_Berlin_KW6,177,24,0,153,24,4,3,7,8,8
WW_210311_Berlin_KW1,159,27,0,132,23,6,3,6,7,7
WW_210311_Berlin_KW2,243,27,0,216,26,5,3,7,8,8
WW_210311_Berlin_KW3,169,23,0,146,23,2,2,5,6,6
WW_210311_Berlin_KW6,46,24,0,22,24,4,3,7,8,8
WW_210318_Berlin_KW1,47,6,0,41,6,0,0,0,0,0
WW_210318_Berlin_KW2,93,21,0,72,20,3,2,7,6,6
WW_210318_Berlin_KW3,6,3,0,3,3,0,0,0,0,0
WW_210318_Berlin_KW6,39,15,0,24,15,2,1,5,5,5
WW_210325_Berlin_KW2_22-24,105,28,1,77,27,4,4,7,9,9
WW_210325_Berlin_KW2_morning,81,25,0,56,25,4,3,7,7,7
